conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2043062344675397897,Sun Apr 19 05:07:13 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Lagian polisi jg gk ad akses buat ngecek hp masing2 kecuali ad perintah kalo semua polisi ngurusin kek begituan 1 1 yg ad gaada abisnya lah kerjaannya yg jdi Msalah itu grup privat jg bahasan dr awal udh slh apalagi smpe ke ekspos publik ydh tamat apalagi orgnya ad dikampus jg,2045730916673483135,,Phinn_Majid,in,,0,2,0,https://x.com/undefined/status/2045730916673483135,1880040833896050688,
2043062344675397897,Sun Apr 19 05:02:30 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Apalagi klo isi gibahannya melecehkan perempuan / laki2 udh jls slh mau itu terekspos atau nggak y ttp slh GK bisa dibenarkan mau itu grup privat kek grup umum kek yg namanya pelecehan y pelecehan apalagi kalo smpe keekspos gt percuma gw ngomong muter2 klo dri elunya aj bebal,2045729732277555252,,PutriAgust54679,in,,0,3,0,https://x.com/undefined/status/2045729732277555252,1880040833896050688,
2043062344675397897,Sun Apr 19 04:59:59 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Gibahan isinya apa dlu kalo gibahan gak berdasar semisal lu omongin org tp gaada bukti jatuhnya fitnah ya kriminal tp klo mnurut lu GK ydh apalagi gibahsmpe ke ekspos publik jatuhnya pencemaran nama baik Tpi kalo gibah berdsrkan fakta/kejadian sendiri ya itu urusan msing2.,2045729100313301200,,Phinn_Majid,in,,0,1,0,https://x.com/undefined/status/2045729100313301200,1880040833896050688,
2043062344675397897,Sun Apr 19 04:57:02 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Percuma Argumen sama lu gaakan ad ujungnya bg soalnya pemikiran kita dh beda lu bahas kriminal yg gw masalahin dari awal jg lebih ke dampak lu bawa2 kriminal dri awal y jls segala bentuk pelecehan verbal lwt grup mau siapapun gendernya cewek / cowok jelas udh slh dan kriminal,2045728356419965152,,Phinn_Majid,in,,0,0,0,https://x.com/undefined/status/2045728356419965152,1880040833896050688,
2043062344675397897,Sun Apr 19 02:53:31 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Lagipula masih gak menjawab pertanyaan gw. Gak sekalian kita kriminalisasi semua ghibahan orang ke kita baik yg seksual maupun moral? Beginikah hukum Indonesia? ,2045697272927973592,,PutriAgust54679,in,,0,2,0,https://x.com/undefined/status/2045697272927973592,1170453991,
2043062344675397897,Sun Apr 19 02:52:46 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Fakta kok pake pertanyaan asal ke Gemini pfft!!!,2045697081625776150,,PutriAgust54679,in,,0,1,0,https://x.com/undefined/status/2045697081625776150,1170453991,
2043062344675397897,Sun Apr 19 02:51:59 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Yahaha gak bisa berpikir dan berargumen sendiri nih sampe bawa chatbot AI? Gw dari titik ini mending gak usah debat sama lu. Mending gw debatin Gemini sekalian aja,2045696884875075598,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045696884875075598,1170453991,
2043062344675397897,Sun Apr 19 02:40:49 +0000 2026,0,@sampahfhui @ylkptrr sebernya banyak juga di kampus2 lain cuma ga kesebar kaya gini aja,2045694076897677402,,sampahfhui,in,,0,0,0,https://x.com/undefined/status/2045694076897677402,1118731835721129984,
2043062344675397897,Sun Apr 19 00:31:06 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Hey begini masih ditanyakan??? Coba jawab pertanyaan anda sendiri deh bocah pinter juga ngerti itu salah,2045661431253872865,,Phinn_Majid,in,,0,0,0,https://x.com/undefined/status/2045661431253872865,1185715732488708097,
2043062344675397897,Mon Apr 20 15:15:16 +0000 2026,0,@oddlilieth @sampahfhui EMANG B3 (BEDEBAH BADJINGAN BANGSAT) UDAH DIKASIH NAMA BAGUS SAMA ORTU (MUHAMMAD) BIAR HARAPANNYA SIKAP TINGKAH LAKU SEPERTI BELIAU..MALAH KAYAK DAJJALL ,2046246327517143482,,oddlilieth,in,,0,0,0,https://x.com/undefined/status/2046246327517143482,2028144175104036864,
2043062344675397897,Mon Apr 20 09:14:41 +0000 2026,0,@yaudahsihyak @nih702 @sampahfhui Tuh ya gue kasih bukti banter2annya soal fdj https://t.co/UbOCHT8d4F,2046155582307225787,https://pbs.twimg.com/media/HGVnpy9aEAAgmoP.jpg,caturprasetyoo,in,,0,0,0,https://x.com/undefined/status/2046155582307225787,434112116,
2043062344675397897,Mon Apr 20 09:13:10 +0000 2026,0,@yaudahsihyak @nih702 @sampahfhui Mana gue tau. Gue ga ada urusan dan ga terlibat jg sm blunder itu. Banter2an soal fdj buat gue itu ya urusan lo2 pd yang suka fdj dan gue ngga ga suka sm tipe permainannya fdj. Suka dan ga suka mah wajar. Klo nafsirinnya benci dan ga benci ya balik lg itu urusan lo.,2046155201376334278,,yaudahsihyak,in,,0,1,0,https://x.com/undefined/status/2046155201376334278,434112116,
2043062344675397897,Mon Apr 20 09:03:49 +0000 2026,0,@caturprasetyoo @nih702 @sampahfhui yg sanking bencinya sm satu pemain sampe lecehin siapa yaaaa? ,2046152847658750095,,caturprasetyoo,in,,0,1,0,https://x.com/undefined/status/2046152847658750095,1117432757146099713,
2043062344675397897,Mon Apr 20 08:00:17 +0000 2026,0,@yaudahsihyak @nih702 @sampahfhui Lo yg bego. Mksd gue bahas fdj tuh ya pas banter2an soal fdj ini bkn pas kejadian ada kesalahan akun yg lo mksd itu. Gue ga pernah menormalisasi yg namanya pelecehan ya. Yg bersangkutan udh minta maaf &amp; ngakuin kesalahaan ya udah. Perihal lo mau terus permasalahin ya terserah lo!,2046136861702361469,,yaudahsihyak,in,,0,1,0,https://x.com/undefined/status/2046136861702361469,434112116,
2043062344675397897,Mon Apr 20 07:55:43 +0000 2026,0,@yaudahsihyak @caturprasetyoo @sampahfhui Yang becek itu ? ,2046135712630894709,,yaudahsihyak,in,,0,0,0,https://x.com/undefined/status/2046135712630894709,1621477822115221504,
2043062344675397897,Mon Apr 20 07:53:39 +0000 2026,0,@caturprasetyoo @nih702 @sampahfhui bahas fdj kok sampe melecehkan? bego ya? ,2046135192893653325,,caturprasetyoo,in,,0,2,0,https://x.com/undefined/status/2046135192893653325,1117432757146099713,
2043062344675397897,Mon Apr 20 07:26:05 +0000 2026,3,@caturprasetyoo @sampahfhui @BarcaBandidos Ngapain caper sama orang peleceh perempuan dan disepong sama domba nya ,2046128255061885321,,caturprasetyoo,in,,0,0,0,https://x.com/undefined/status/2046128255061885321,1621477822115221504,
2043062344675397897,Mon Apr 20 06:06:10 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Salahin lah pemerintah dan hukum diindonesia ngapain koar2 nya ke gue gue bkn ahli hukum / pemerintah kok dh tau hukum indonesia kbnykn GK bnr bahkan bisa dibeli y jls mereka utamain org yg berduit dlu / kasus gede yg viral udh dikecam bnyk org baru mereka ladenin.,2046108142451437746,,Phinn_Majid,in,,0,0,0,https://x.com/undefined/status/2046108142451437746,1880040833896050688,
2043062344675397897,Mon Apr 20 06:02:00 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Kalo artis kek mereka ngurusin org2 gkpenting kek lu dan tmn2 lu / orang2 yg ngelecehin mereka satu2 ya gaakan ad habisnya yg ad duitnya abis utk ngurusin Msalah kek gt doang.,2046107092084572563,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2046107092084572563,1880040833896050688,
2043062344675397897,Mon Apr 20 06:00:39 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Ya itu hak lu sih mau ngelecehin artis2 kek apa gmn ya suka2 elu dampak dan dosanya elu tanggung sndiri kalo chat lu ke ekspos publik dan mereka tau trs ngerasa tersinggung bisa aja di tuntut / bui Tpi sekelas artis kek mereka jg GK mungkin ngurusin elu dan tmn2 lu sih,2046106752144609667,,Phinn_Majid,in,,0,1,0,https://x.com/undefined/status/2046106752144609667,1880040833896050688,
2043062344675397897,Mon Apr 20 05:57:49 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Dan gue kan udh bilang juga tergantung isi gibahannya kalo gibahan soal fakta pribadi y aman2 aja itu hak masing2 jg. Intinya kita diksih akal dikasih jari dan mulut harusnya digunakan sebaik mungkin bukan untuk ngegibahin org apalagi smpe ngelecehin org via chat / grup.,2046106040933220861,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2046106040933220861,1880040833896050688,
2043062344675397897,Mon Apr 20 05:55:55 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Tergantung kalo org yg digibahin GK dgr GK tau dan GK sdr ya aman aja tp klo semisal yg digibahin tau dan ngerasa gak terima bisa aja dituntut / dilaporin klo ad buktinya kok jatuhnya bisa kriminal.,2046105563671802117,,Phinn_Majid,in,,0,1,0,https://x.com/undefined/status/2046105563671802117,1880040833896050688,
